id,meal_name,photo,description,time,low_calorie,vegetarian,pescatarian,vegan,halal,spicy,easy_prep,easy_cleanup
1,WARFARIN SODIUM,http://dummyimage.com/181x100.png/5fa2dd/ffffff,"Revision of Spacer in Sacrococcygeal Jt, Perc Endo Approach",21,false,true,true,false,false,true,true,true
2,"Diphenhydramine Hydrochloride, Zinc Acetate",http://dummyimage.com/115x100.png/ff4444/ffffff,"Revision of Infusion Dev in Sacrococcygeal Jt, Open Approach",7,true,false,true,true,false,false,false,false
3,Phenylephrine HCl,http://dummyimage.com/116x100.png/cc0000/ffffff,Low Dose Rate (LDR) Brachytherapy of Kidney using Iodine 125,15,false,false,false,true,false,true,true,false
4,Giant Wild Rye,http://dummyimage.com/222x100.png/cc0000/ffffff,"Excision of Right External Iliac Artery, Perc Approach",21,true,true,true,true,false,false,false,false
5,Cetirizine Hydrochloride,http://dummyimage.com/195x100.png/5fa2dd/ffffff,"Drain Oral Cav & Throat w Drain Dev, Perc Endo",19,false,false,true,true,false,false,true,false
6,Iohexol,http://dummyimage.com/188x100.png/dddddd/000000,"Destruction of Right Innominate Vein, Perc Endo Approach",16,true,true,false,false,false,false,true,false
7,Pyrithione Zinc,http://dummyimage.com/107x100.png/ff4444/ffffff,"Introduction of Analg/Hypnot/Sedat into Up GI, Endo",5,false,false,false,false,true,false,false,false
8,PredniSONE,http://dummyimage.com/226x100.png/ff4444/ffffff,Magnetic Resonance Imaging (MRI) of R Eye using Oth Contrast,26,false,false,true,false,false,true,false,false
9,"OCTINOXATE, OXYBENZONE",http://dummyimage.com/195x100.png/cc0000/ffffff,"Extirpation of Matter from Right Renal Artery, Open Approach",1,true,false,true,true,true,true,false,true
10,NAFCILLIN SODIUM,http://dummyimage.com/244x100.png/cc0000/ffffff,Gait Training/Ambulat Treatment using Oth Equip,29,true,false,true,false,true,true,true,true
11,"Titanium Dioxide, Octinoxate",http://dummyimage.com/101x100.png/dddddd/000000,"Insertion of Infusion Dev into L Radial Art, Perc Approach",7,true,false,true,true,true,false,true,false
12,LIDOCAINE HYDROCHLORIDE,http://dummyimage.com/104x100.png/cc0000/ffffff,"Transfer Right Foot Skin, External Approach",24,false,true,true,true,false,false,true,true
13,sertraline hydrochloride,http://dummyimage.com/220x100.png/ff4444/ffffff,"Repair Ear, Nose and Sinus in Products of Conception, Endo",28,true,false,false,false,false,true,false,true
14,Stavudine,http://dummyimage.com/162x100.png/ff4444/ffffff,"Supplement R Up Arm Tendon with Nonaut Sub, Open Approach",26,true,false,false,true,false,true,true,false
15,Warfarin Sodium,http://dummyimage.com/229x100.png/ff4444/ffffff,"Fusion of Left Tarsal Joint with Int Fix, Perc Endo Approach",6,false,false,true,false,false,true,true,false
16,TITANIUM DIOXIDE,http://dummyimage.com/122x100.png/5fa2dd/ffffff,"Reposition Right Knee Joint with Int Fix, Perc Approach",13,true,false,false,false,false,true,true,true
17,Ampicillin Sodium,http://dummyimage.com/191x100.png/ff4444/ffffff,"Occlusion of Low Esophag with Intralum Dev, Open Approach",15,false,true,true,false,false,true,true,true
18,ISOSORBIDE MONONITRATE,http://dummyimage.com/233x100.png/ff4444/ffffff,"Supplement Right Basilic Vein with Synth Sub, Open Approach",26,true,true,false,false,false,true,false,false
