id,meals_per_week,price
1,4,12
2,7,25
3,4,45
4,7,46
5,5,24
6,3,36
7,4,6
8,6,23
9,6,39
10,4,26
11,7,13
12,3,48
13,5,6
14,4,47
15,5,33
16,6,47
17,5,11
18,3,28
19,6,45
20,6,27
21,7,42
22,6,38
23,3,15
24,5,46
25,5,26
26,3,25
27,7,10
28,5,21
29,5,14
30,7,17
31,3,44
32,5,21
33,3,42
34,6,8
35,7,37
36,6,5
37,5,30
38,3,5
39,6,32
40,7,14
41,7,1
42,4,8
43,7,6
44,3,9
45,6,28
46,6,26
47,6,7
48,4,20
49,3,17
50,3,7
51,5,37
52,6,11
53,6,35
54,7,22
55,7,9
56,4,4
57,4,33
58,6,44
59,3,20
60,4,11
61,3,29
62,4,3
63,4,35
64,3,9
65,5,5
66,7,36
67,7,15
68,6,45
69,3,46
70,7,3
71,5,24
72,3,6
73,6,7
74,7,18
75,4,31
76,5,50
77,3,40
78,6,36
79,5,33
80,5,48
81,5,30
82,7,37
83,6,23
84,7,33
85,7,31
86,7,40
87,4,11
88,7,48
89,6,39
90,4,21
91,7,47
92,7,26
93,6,43
94,7,49
95,6,35
96,7,42
97,3,29
98,3,8
99,6,50
100,6,44
101,7,16
102,7,48
103,7,37
104,3,13
105,3,12
106,5,41
107,5,44
108,6,23
109,5,27
110,3,3
111,3,45
112,7,5
113,4,24
114,6,44
115,7,26
116,7,24
117,7,30
118,7,32
119,3,10
120,5,21
121,3,28
122,6,28
123,5,15
124,3,19
125,5,18
126,4,17
127,4,6
128,7,19
129,4,31
130,3,18
131,5,8
132,3,3
133,4,33
134,3,43
135,3,11
136,7,26
137,6,30
138,5,50
139,4,2
140,5,17
141,6,3
142,4,23
143,5,14
144,4,9
145,5,39
146,4,14
147,5,37
148,5,29
149,3,36
150,3,49
151,3,46
152,4,44
153,6,44
154,4,42
155,4,43
156,4,21
157,5,29
158,4,26
159,7,12
160,5,42
161,6,28
162,4,13
163,4,35
164,4,24
165,6,47
166,3,39
167,3,10
168,7,6
169,3,34
170,3,44
171,5,10
172,6,10
173,5,31
174,4,20
175,3,23
176,3,5
177,6,40
178,4,34
179,6,26
180,6,1
181,4,14
182,7,34
183,6,24
184,5,12
185,7,42
186,3,31
187,6,8
188,6,16
189,6,6
190,4,15
191,6,25
192,6,10
193,3,44
194,5,23
195,5,2
196,3,48
197,4,8
198,3,31
199,3,4
200,3,42
201,7,36
202,5,3
203,6,10
204,3,2
205,3,25
206,3,22
207,3,34
208,6,16
209,7,15
210,4,20
211,5,47
212,4,4
213,7,30
214,5,28
215,5,32
216,3,39
217,4,12
218,5,10
219,5,3
220,3,7
221,7,43
222,4,8
223,7,36
224,6,24
225,7,40
226,6,14
227,3,3
228,3,42
229,7,34
230,3,38
231,5,27
232,3,49
233,3,11
234,5,24
235,5,33
236,3,49
237,6,12
238,7,45
239,6,23
240,3,9
241,5,17
242,7,39
243,3,32
244,5,18
245,3,18
246,7,44
247,7,17
248,7,33
249,7,22
250,6,49
251,4,40
252,7,38
253,4,36
254,3,5
255,5,15
256,6,39
257,3,18
258,7,50
259,3,27
260,7,16
261,6,23
262,5,31
263,4,13
264,4,48
265,6,2
266,7,19
267,6,45
268,7,14
269,6,5
270,3,46
271,3,36
272,4,35
273,5,3
274,4,34
275,4,33
276,3,15
277,4,7
278,6,27
279,3,49
280,5,9
281,3,14
282,5,23
283,3,28
284,5,30
285,5,10
286,6,40
287,3,18
288,4,13
289,6,30
290,7,43
291,7,11
292,5,42
293,7,34
294,6,46
295,7,17
296,4,11
297,7,26
298,5,39
299,7,14
300,3,27
301,7,35
302,6,32
303,4,13
304,5,50
305,6,43
306,6,25
307,5,48
308,7,12
309,5,11
310,3,12
311,5,19
312,4,9
313,5,22
314,7,45
315,4,28
316,5,28
317,6,32
318,4,10
319,3,41
320,5,22
321,6,32
322,5,48
323,4,35
324,6,22
325,7,32
326,3,12
327,6,26
328,5,35
329,3,5
330,6,36
331,3,33
332,3,11
333,5,41
334,6,42
335,5,45
336,4,15
337,6,50
338,3,9
339,7,50
340,3,44
341,3,17
342,4,24
343,4,26
344,7,20
345,6,3
346,7,31
347,3,5
348,3,24
349,7,46
350,7,30
351,3,38
352,6,38
353,7,36
354,4,50
355,7,10
356,5,20
357,3,27
358,6,26
359,7,23
360,3,10
361,5,32
362,6,34
363,4,46
364,6,2
365,7,34
366,4,41
367,7,38
368,5,32
369,4,29
370,3,22
371,7,7
372,4,36
373,3,31
374,7,25
375,5,30
376,3,50
377,6,39
378,4,31
379,7,29
380,7,18
381,7,28
382,6,38
383,3,39
384,6,28
385,6,3
386,3,42
387,3,2
388,3,11
389,7,27
390,4,12
391,3,8
392,3,3
393,6,9
394,6,50
395,4,24
396,3,44
397,3,8
398,3,6
399,4,4
400,5,12
401,5,34
402,4,41
403,4,20
404,4,12
405,4,22
406,3,50
407,6,36
408,3,15
409,5,8
410,3,44
411,4,33
412,5,22
413,5,22
414,5,10
415,3,15
416,4,21
417,3,25
418,5,12
419,6,35
420,3,23
421,6,28
422,6,19
423,4,41
424,7,37
425,5,35
426,3,46
427,3,3
428,6,31
429,3,26
430,4,30
431,5,32
432,3,11
433,6,31
434,7,33
435,5,43
436,7,19
437,4,30
438,4,12
439,4,15
440,7,43
441,3,20
442,4,10
443,7,8
444,3,14
445,5,9
446,6,28
447,6,38
448,4,2
449,4,47
450,6,22
451,6,3
452,6,1
453,7,42
454,7,40
455,5,41
456,3,37
457,3,15
458,5,17
459,6,13
460,5,34
461,6,24
462,3,46
463,3,41
464,4,26
465,5,44
466,4,40
467,6,43
468,4,19
469,4,19
470,5,1
471,7,26
472,5,27
473,6,30
474,7,36
475,7,47
476,4,2
477,4,35
478,5,47
479,4,9
480,5,26
481,5,33
482,7,23
483,4,24
484,6,8
485,7,15
486,5,46
487,6,3
488,3,35
489,7,13
490,4,39
491,3,13
492,3,26
493,3,32
494,7,27
495,6,37
496,3,32
497,7,12
498,3,6
499,5,2
500,5,46
501,7,47
502,6,35
503,4,3
504,5,44
505,7,36
506,7,16
507,4,11
508,5,34
509,7,23
510,6,1
511,6,1
512,4,24
513,5,50
514,4,12
515,7,32
516,4,39
517,4,14
518,3,9
519,4,17
520,7,19
521,7,3
522,7,16
523,7,16
524,3,28
525,6,39
526,5,48
527,5,29
528,4,48
529,6,21
530,4,13
531,4,22
532,4,15
533,7,35
534,7,39
535,4,38
536,6,8
537,3,44
538,5,25
539,5,5
540,7,11
541,5,35
542,5,23
543,4,22
544,3,45
545,6,31
546,7,46
547,4,40
548,5,37
549,7,43
550,5,38
551,6,18
552,5,21
553,6,14
554,7,19
555,5,6
556,3,29
557,3,2
558,4,17
559,4,49
560,3,42
561,7,35
562,5,14
563,4,8
564,4,20
565,4,29
566,4,15
567,5,11
568,3,25
569,7,26
570,5,30
571,3,3
572,7,42
573,4,24
574,3,28
575,6,30
576,7,41
577,3,23
578,5,29
579,5,48
580,4,22
581,4,20
582,4,14
583,6,9
584,5,32
585,7,30
586,7,16
587,5,8
588,4,45
589,5,36
590,5,12
591,6,19
592,4,15
593,3,42
594,4,37
595,4,1
596,7,7
597,7,29
598,3,36
599,6,8
600,3,43
