id,user_id,meal_id,date_ordered,date_received
1,217,326,9/5/2021,3/27/2021
2,332,249,12/4/2020,8/7/2021
3,444,836,2/28/2021,12/7/2020
4,147,730,3/2/2021,10/9/2021
5,312,512,12/12/2020,2/5/2021
6,330,372,9/30/2021,7/11/2021
7,113,402,10/14/2021,9/30/2021
8,14,802,12/17/2020,10/21/2020
9,383,609,12/16/2020,5/26/2021
10,12,796,2/21/2021,10/26/2020
11,409,735,11/21/2020,9/17/2021
12,460,381,11/21/2020,5/9/2021
13,80,482,8/8/2021,2/27/2021
14,275,487,4/16/2021,4/14/2021
15,61,284,11/10/2020,3/22/2021
16,443,194,3/18/2021,3/22/2021
17,387,494,5/22/2021,1/26/2021
18,377,931,5/17/2021,5/7/2021
19,134,509,1/2/2021,1/6/2021
20,299,40,9/24/2021,12/17/2020
21,482,231,7/29/2021,4/21/2021
22,99,418,5/14/2021,7/29/2021
23,68,172,6/21/2021,7/26/2021
24,179,736,10/22/2020,11/23/2020
25,43,507,9/27/2021,10/1/2021
26,39,634,1/11/2021,6/18/2021
27,103,541,10/16/2021,8/18/2021
28,325,71,8/16/2021,6/21/2021
29,311,637,5/24/2021,12/16/2020
30,150,18,6/10/2021,5/31/2021
31,91,154,7/7/2021,4/7/2021
32,103,201,2/14/2021,10/26/2020
33,106,463,11/24/2020,10/6/2021
34,475,977,7/30/2021,11/22/2020
35,324,176,4/27/2021,1/11/2021
36,212,712,7/27/2021,3/4/2021
37,398,991,8/7/2021,11/21/2020
38,59,24,1/3/2021,5/25/2021
39,487,653,2/25/2021,12/14/2020
40,123,418,3/6/2021,1/20/2021
41,416,466,1/13/2021,7/31/2021
42,465,833,3/9/2021,9/14/2021
43,416,16,4/29/2021,9/26/2021
44,144,257,3/2/2021,6/9/2021
45,38,588,1/30/2021,6/7/2021
46,101,490,4/12/2021,11/30/2020
47,56,102,10/22/2020,3/17/2021
48,410,807,6/28/2021,1/19/2021
49,303,778,4/23/2021,6/5/2021
50,222,797,10/20/2020,12/8/2020
51,21,257,9/30/2021,10/9/2021
52,135,430,3/11/2021,1/27/2021
53,213,396,1/30/2021,5/3/2021
54,38,621,10/7/2021,5/27/2021
55,229,698,12/11/2020,8/4/2021
56,188,40,6/10/2021,5/22/2021
57,263,212,7/15/2021,5/22/2021
58,197,190,4/5/2021,7/12/2021
59,470,785,4/11/2021,5/4/2021
60,252,527,5/24/2021,2/13/2021
61,199,675,1/14/2021,1/24/2021
62,471,452,10/23/2020,7/29/2021
63,273,55,5/1/2021,2/10/2021
64,187,352,1/20/2021,11/14/2020
65,336,35,3/8/2021,5/17/2021
66,226,468,1/23/2021,6/19/2021
67,478,479,7/29/2021,4/18/2021
68,296,673,9/29/2021,11/14/2020
69,214,57,8/12/2021,8/22/2021
70,75,933,1/17/2021,11/6/2020
71,139,652,11/26/2020,5/24/2021
72,334,9,4/7/2021,1/8/2021
73,232,221,12/9/2020,6/7/2021
74,363,562,1/5/2021,3/13/2021
75,50,412,5/1/2021,12/29/2020
76,406,551,12/23/2020,11/19/2020
77,255,418,10/7/2021,11/19/2020
78,115,511,4/18/2021,7/14/2021
79,24,977,1/5/2021,12/19/2020
80,302,369,4/29/2021,9/1/2021
81,15,69,1/30/2021,12/7/2020
82,320,54,10/12/2021,10/15/2021
83,306,237,11/28/2020,9/25/2021
84,432,282,1/17/2021,11/24/2020
85,431,103,2/20/2021,7/4/2021
86,24,339,1/29/2021,4/30/2021
87,241,45,10/31/2020,10/27/2020
88,148,620,9/27/2021,2/13/2021
89,187,318,8/4/2021,9/2/2021
90,299,696,8/15/2021,1/7/2021
91,17,184,2/28/2021,2/24/2021
92,263,892,6/11/2021,8/4/2021
93,485,859,4/27/2021,12/17/2020
94,442,561,12/9/2020,12/12/2020
95,338,406,10/31/2020,9/9/2021
96,334,69,4/5/2021,9/22/2021
97,408,406,3/31/2021,3/15/2021
98,426,840,5/19/2021,1/14/2021
99,191,163,10/17/2021,1/11/2021
100,315,8,4/15/2021,3/29/2021
101,248,511,10/21/2020,3/16/2021
102,210,945,1/10/2021,1/12/2021
103,108,806,8/18/2021,7/16/2021
104,311,159,8/12/2021,8/8/2021
105,306,146,11/22/2020,3/22/2021
106,376,153,11/24/2020,1/18/2021
107,396,727,11/26/2020,7/26/2021
108,387,977,5/27/2021,9/12/2021
109,175,268,6/22/2021,3/30/2021
110,154,886,4/19/2021,9/20/2021
111,496,830,6/23/2021,6/5/2021
112,248,390,4/28/2021,10/27/2020
113,473,301,3/17/2021,1/6/2021
114,265,89,4/17/2021,1/21/2021
115,136,46,5/10/2021,1/14/2021
116,316,432,2/15/2021,6/28/2021
117,485,497,12/2/2020,12/7/2020
118,264,944,4/10/2021,4/11/2021
119,202,7,5/28/2021,3/10/2021
120,257,77,10/25/2020,8/11/2021
121,423,461,3/11/2021,5/25/2021
122,13,443,11/25/2020,5/16/2021
123,351,975,6/26/2021,8/5/2021
124,399,354,3/12/2021,12/7/2020
125,471,917,7/10/2021,2/27/2021
126,394,413,9/16/2021,5/14/2021
127,205,898,11/20/2020,5/26/2021
128,55,470,3/21/2021,2/5/2021
129,439,434,11/5/2020,11/15/2020
130,186,304,11/14/2020,9/1/2021
131,169,536,12/10/2020,10/25/2020
132,100,527,12/5/2020,1/10/2021
133,346,521,3/20/2021,10/29/2020
134,340,99,10/14/2021,8/24/2021
135,372,822,2/19/2021,12/9/2020
136,34,662,11/7/2020,4/1/2021
137,26,349,6/1/2021,5/30/2021
138,183,15,1/9/2021,2/25/2021
139,369,890,6/3/2021,3/31/2021
140,79,584,12/25/2020,11/22/2020
141,47,62,6/19/2021,8/13/2021
142,433,568,12/14/2020,6/5/2021
143,167,183,10/5/2021,7/7/2021
144,133,354,9/22/2021,12/15/2020
145,305,982,11/13/2020,4/21/2021
146,127,875,12/24/2020,11/3/2020
147,437,643,4/8/2021,2/4/2021
148,41,224,5/9/2021,8/31/2021
149,263,798,12/16/2020,12/17/2020
150,302,740,10/29/2020,8/27/2021
151,137,226,12/5/2020,9/28/2021
152,178,613,10/26/2020,5/24/2021
153,458,441,9/14/2021,12/5/2020
154,438,309,1/18/2021,3/1/2021
155,157,111,4/23/2021,9/18/2021
156,286,433,9/16/2021,8/9/2021
157,1,705,1/6/2021,11/19/2020
158,61,291,10/8/2021,3/24/2021
159,423,3,1/16/2021,10/28/2020
160,136,791,6/27/2021,3/13/2021
161,257,301,10/17/2021,4/4/2021
162,36,612,7/28/2021,7/26/2021
163,216,112,6/3/2021,4/13/2021
164,114,415,10/29/2020,8/4/2021
165,268,228,10/25/2020,9/13/2021
166,85,28,11/19/2020,4/17/2021
167,320,380,6/13/2021,5/18/2021
168,364,7,8/8/2021,9/28/2021
169,27,760,4/23/2021,1/14/2021
170,471,49,8/28/2021,4/27/2021
171,168,753,10/9/2021,11/10/2020
172,26,337,5/8/2021,10/12/2021
173,229,546,1/15/2021,8/1/2021
174,120,771,10/10/2021,9/24/2021
175,320,45,9/1/2021,7/26/2021
176,476,896,9/12/2021,6/21/2021
177,34,441,10/21/2020,1/5/2021
178,56,129,1/30/2021,12/26/2020
179,199,348,2/6/2021,5/26/2021
180,307,252,8/24/2021,9/3/2021
181,237,683,12/7/2020,9/19/2021
182,318,657,12/15/2020,8/10/2021
183,154,605,9/20/2021,3/9/2021
184,235,755,9/6/2021,7/18/2021
185,384,236,5/28/2021,4/24/2021
186,286,41,1/5/2021,9/1/2021
187,143,723,8/12/2021,6/7/2021
188,377,687,7/1/2021,11/29/2020
189,322,804,7/18/2021,5/1/2021
190,33,657,7/29/2021,9/20/2021
191,70,418,7/7/2021,2/10/2021
192,255,413,2/4/2021,4/9/2021
193,397,569,8/13/2021,9/9/2021
194,152,564,4/26/2021,10/28/2020
195,308,373,1/29/2021,7/3/2021
196,379,248,6/24/2021,6/13/2021
197,193,638,2/4/2021,5/18/2021
198,312,403,1/28/2021,8/23/2021
199,275,794,12/29/2020,8/21/2021
200,174,84,1/30/2021,3/15/2021
201,296,354,9/7/2021,2/3/2021
202,56,269,7/2/2021,1/18/2021
203,208,674,7/25/2021,12/1/2020
204,237,910,6/29/2021,1/1/2021
205,434,370,3/11/2021,1/6/2021
206,203,477,3/30/2021,7/9/2021
207,82,947,12/30/2020,3/10/2021
208,122,5,9/15/2021,4/24/2021
209,214,622,1/17/2021,3/6/2021
210,179,306,12/13/2020,1/2/2021
211,410,972,2/22/2021,10/6/2021
212,29,133,6/5/2021,6/16/2021
213,268,77,11/18/2020,8/29/2021
214,343,723,2/12/2021,7/30/2021
215,381,410,7/20/2021,4/24/2021
216,253,987,8/19/2021,11/25/2020
217,62,225,4/17/2021,7/1/2021
218,421,907,1/7/2021,12/27/2020
219,481,150,10/12/2021,12/13/2020
220,244,913,5/29/2021,8/8/2021
221,270,381,1/12/2021,6/2/2021
222,477,952,2/18/2021,2/23/2021
223,216,48,8/25/2021,12/18/2020
224,227,551,4/18/2021,8/11/2021
225,23,682,8/19/2021,4/26/2021
